County/City,Ward,Pct,"Gerald L. Baliles","Wyatt B. Durrette, Jr","All Others","Total Votes Cast"
,,,Democratic,Republican
"Petersburg City",,,"6,433","3,816",1,"10,250"
"Pittsylvania County",,,"6,040","7,902",0,"13,942"
"Poquoson City",,,928,"1,679",0,"2,607"
"Portsmouth City",,,"17,174","7,662",5,"24,841"
"Powhatan County",,,"1,526","2,025",0,"3,551"
"Prince Edward County",,,"2,105","2,088",14,"4,207"
"Prince George County",,,"2,134","2,361",1,"4,496"
"Prince William County",,,"11,231","13,522",1,"24,754"
"Pulaski County",,,"4,927","3,904",0,"8,831"
"Radford City",,,"1,911","1,509",0,"3,420"
"Rappahannock County",,,858,833,0,"1,691"
"Richmond County",,,"1,138",922,0,"2,060"
"Richmond City",,,"42,467","22,915",35,"65,417"
"Roanoke County",,,"11,865","11,491",1,"23,357"
"Roanoke City",,,"15,803","9,875",5,"25,683"
"Rockbridge County",,,"2,248","2,099",6,"4,353"
"Rockingham County",,,"5,336","8,752",8,"14,096"
"Russell County",,,"4,606","3,008",0,"7,614"
"Salem City",,,"3,594","3,195",0,"6,789"
"Scott County",,,"3,140","3,307",0,"6,447"
"Shenandoah County",,,"3,474","5,101",0,"8,575"
"Smyth County",,,"4,370","3,987",0,"8,357"
"S. Boston City",,,741,"1,018",12,"1,771"
"Southampton County",,,"2,032","2,648",0,"4,680"
"Spotsylvania County",,,"3,417","3,666",0,"7,083"
"Stafford County",,,"3,778","5,363",0,"9,141"
"Staunton City",,,"2,759","3,339",1,"6,099"
"Suffolk City",,,"7,576","4,427",0,"12,003"
"Surry County",,,"1,449",678,0,"2,127"
"Sussex County",,,"1,883","1,188",0,"3,071"
"Tazewell County",,,"5,865","3,862",0,"9,727"
"Virginia Beach City",,,"24,682","27,782",7,"52,471"
"Warren County",,,"2,727","2,374",0,"5,101"
"Washington County",,,"5,294","5,192",0,"10,486"
"Waynesboro City",,,"1,882","2,727",0,"4,609"
"Westmoreland County",,,"2,155","1,531",0,"3,686"
"Williamsburg City",,,"1,064","1,048",0,"2,112"
"Winchester City",,,"2,200","2,750",1,"4,951"
"Wise County",,,"6,340","3,498",0,"9,838"
"Wythe County",,,"3,869","3,126",0,"6,995"
"York County",,,"4,173","4,713",1,"8,887"
TOTALS,,,"682,410","656,284",520,"1,339,214"
