County/City,,,"Mark R. Warner","James Jim S. Gilmore, III","Glenda Gail Parker","William B. Redpath","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian
"Scott County",,,"5,241","4,255",61,36,8,"9,601"
"Shenandoah County",,,"9,686","8,938",130,117,17,"18,888"
"Smyth County",,,"7,199","4,703",73,48,12,"12,035"
"Southampton County",,,"5,884","2,906",63,28,5,"8,886"
"Spotsylvania County",,,"31,660","21,025",293,272,40,"53,290"
"Stafford County",,,"32,150","21,695",370,259,48,"54,522"
"Staunton City",,,"6,897","3,656",60,55,1,"10,669"
"Suffolk City",,,"24,069","12,260",280,158,10,"36,777"
"Surry County",,,"2,732","1,029",25,17,0,"3,803"
"Sussex County",,,"3,817","1,281",40,21,0,"5,159"
"Tazewell County",,,"9,194","6,583",148,65,12,"16,002"
"Virginia Beach City",,,"124,517","67,886","1,407","1,071",114,"194,995"
"Warren County",,,"8,862","6,766",95,79,31,"15,833"
"Washington County",,,"12,929","10,835",123,59,16,"23,962"
"Waynesboro City",,,"5,039","3,549",49,48,6,"8,691"
"Westmoreland County",,,"5,485","2,395",62,46,0,"7,988"
"Williamsburg City",,,"4,875","1,630",54,103,14,"6,676"
"Winchester City",,,"6,896","3,017",56,52,5,"10,026"
"Wise County",,,"8,605","5,114",72,53,5,"13,849"
"Wythe County",,,"7,325","4,899",91,33,19,"12,367"
"York County",,,"18,389","14,599",171,213,27,"33,399"
TOTALS,,,"2,369,327","1,228,830","21,690","20,269","3,178","3,643,294"
